Timestamp,1. What is your age?,"2. Which of the following describe you, if any? ",3. Are you of Hispanic/Latino/Spanish origin ?,4. How would you best describe yourself?,5. Which of the following best describes the highest level of formal education that you’ve completed or currently undergoing?,6. How many years of professional coding experience do you have ?,7. What is you preferred development environment?,8. How do you learn to code?,9. What is the biggest challenge you face as a developer?,"10. When choosing a programming language for a new project, you prioritize:",11. How do you communicate effectively with teammates to collaborate while adhering to the timelines?,12. How do you ensure that you stay up-to-date with industry changes as a software developer?,13. How do you balance between innovation and meeting project deadlines?,14. Software development contributes to societal challenges by:,"15. A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",16. You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation? ,17. You discover a critical bug right before a software release. What immediate action do you take?,"18. In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?"
2/25/2024 4:06:36,23-26 years old,Man,No,White,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Less than 1 year,Windows,"Online Courses or Certification, School (i.e, University, College, etc)",Understanding existing codebases,The specific requirements of the project,"Schedule regular meetings for updates and coordination, but keep them concise to avoid taking too much time away from work.","Attend workshops, conferences, and webinars to gain insights from industry leaders and peers., Participate in online courses and certification programs to acquire new skills and knowledge.",Focus solely on meeting deadlines,"Improving healthcare through technology, such as telemedicine platforms and health tracking apps., Enhancing education with e-learning platforms, interactive learning tools, and virtual classrooms., Addressing climate change with environmental monitoring systems, carbon footprint calculators, and energy efficiency applications., Supporting economic development through fintech solutions, e-commerce platforms, and digital marketplaces.",Use the AI’s suggestion as one of several factors in the decision,Spend time upfront to learn the basics of the language.,Release a limited beta version to a select group of users for further testing while addressing the bug.,"Inform your team leader or project manager about the bug immediately, and work collaboratively to assess its impact and decide on the next steps."
2/25/2024 7:02:09,18-22 years old,Woman,No,Asian,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Less than 1 year,macOS,"Online Courses or Certification, Books, School (i.e, University, College, etc)",Time management,The specific requirements of the project,Implement a combination of written documentation for clarity and regular check-ins for personal engagement and immediate feedback.,"Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies., Participate in online courses and certification programs to acquire new skills and knowledge.",Allocate specific time for research and innovation,"Improving healthcare through technology, such as telemedicine platforms and health tracking apps., Enhancing education with e-learning platforms, interactive learning tools, and virtual classrooms.",Use the AI’s suggestion as one of several factors in the decision,Seek assistance from a colleague who knows the language.,Release a limited beta version to a select group of users for further testing while addressing the bug.,"Prioritize the bug based on its severity and impact, and if it's critical, reallocate resources to fix it immediately, even if this means pushing back the delivery date"
2/25/2024 9:26:12,23-26 years old,Man,No,Asian,"Professional degree ( MD, Ph.D, Ed.D, etc.)",1-2 years,macOS,"Online Courses or Certification, Books",Keeping up with new technologies,The development team's familiarity with the language,"Rely on informal chats and emails for quick updates, trusting team members to manage their time efficiently.","Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies., Attend workshops, conferences, and webinars to gain insights from industry leaders and peers., Participate in online courses and certification programs to acquire new skills and knowledge., Engage in open-source projects and coding communities to get hands-on experience with cutting-edge technologies.",Focus solely on meeting deadlines,"Improving healthcare through technology, such as telemedicine platforms and health tracking apps., Enhancing education with e-learning platforms, interactive learning tools, and virtual classrooms., Addressing climate change with environmental monitoring systems, carbon footprint calculators, and energy efficiency applications., Supporting economic development through fintech solutions, e-commerce platforms, and digital marketplaces.",Ignore the AI’s suggestion and keep the employee,Spend time upfront to learn the basics of the language.,"Delay the release to assess and fix the bug, ensuring the product meets quality standards.","Inform your team leader or project manager about the bug immediately, and work collaboratively to assess its impact and decide on the next steps."
2/25/2024 9:27:12,23-26 years old,Man,No,Asian,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1-2 years,Windows,"Online Courses or Certification, Books, School (i.e, University, College, etc), Coding Bootcamp",Keeping up with new technologies,The development team's familiarity with the language,"Schedule regular meetings for updates and coordination, but keep them concise to avoid taking too much time away from work.","Participate in online courses and certification programs to acquire new skills and knowledge., Engage in open-source projects and coding communities to get hands-on experience with cutting-edge technologies.",Allocate specific time for research and innovation,"Improving healthcare through technology, such as telemedicine platforms and health tracking apps., Enhancing education with e-learning platforms, interactive learning tools, and virtual classrooms., Addressing climate change with environmental monitoring systems, carbon footprint calculators, and energy efficiency applications., Supporting economic development through fintech solutions, e-commerce platforms, and digital marketplaces.",Use the AI’s suggestion as one of several factors in the decision,Use your existing knowledge and adapt as you go.,Communicate with stakeholders about the issue and seek their input on how to proceed.,"Inform your team leader or project manager about the bug immediately, and work collaboratively to assess its impact and decide on the next steps."
2/25/2024 10:17:36,23-26 years old,Woman,No,Asian,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",1-2 years,Windows,"Online Courses or Certification, School (i.e, University, College, etc)",Keeping up with new technologies,The specific requirements of the project,"Schedule regular meetings for updates and coordination, but keep them concise to avoid taking too much time away from work.","Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies., Participate in online courses and certification programs to acquire new skills and knowledge.",Allocate specific time for research and innovation,"Improving healthcare through technology, such as telemedicine platforms and health tracking apps., Enhancing education with e-learning platforms, interactive learning tools, and virtual classrooms., Supporting economic development through fintech solutions, e-commerce platforms, and digital marketplaces.",Use the AI’s suggestion as one of several factors in the decision,Use your existing knowledge and adapt as you go.,"Delay the release to assess and fix the bug, ensuring the product meets quality standards.","Inform your team leader or project manager about the bug immediately, and work collaboratively to assess its impact and decide on the next steps."
2/25/2024 11:13:27,27-35 years old,Man,No,Asian,"Professional degree ( MD, Ph.D, Ed.D, etc.)",3-5 years,Both macOS and Linux are fine to me,"Online Courses or Certification, School (i.e, University, College, etc)",Understanding existing codebases,The language's community support and ecosystem,Implement a combination of written documentation for clarity and regular check-ins for personal engagement and immediate feedback.,"Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies., Attend workshops, conferences, and webinars to gain insights from industry leaders and peers.",Adjust project scopes to include innovation,"Enhancing education with e-learning platforms, interactive learning tools, and virtual classrooms., Addressing climate change with environmental monitoring systems, carbon footprint calculators, and energy efficiency applications.",Ignore the AI’s suggestion and keep the employee,Use your existing knowledge and adapt as you go.,Release a limited beta version to a select group of users for further testing while addressing the bug.,"Inform your team leader or project manager about the bug immediately, and work collaboratively to assess its impact and decide on the next steps."
2/25/2024 12:32:30,18-22 years old,Woman,No,Asian,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Less than 1 year,Windows,"Online Courses or Certification, Books, School (i.e, University, College, etc)",Keeping up with new technologies,The specific requirements of the project,"Use project management tools to assign tasks and track progress, ensuring everyone is aware of deadlines.","Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies., Participate in online courses and certification programs to acquire new skills and knowledge., Engage in open-source projects and coding communities to get hands-on experience with cutting-edge technologies.",Adjust project scopes to include innovation,"Improving healthcare through technology, such as telemedicine platforms and health tracking apps., Enhancing education with e-learning platforms, interactive learning tools, and virtual classrooms., Addressing climate change with environmental monitoring systems, carbon footprint calculators, and energy efficiency applications., Supporting economic development through fintech solutions, e-commerce platforms, and digital marketplaces.",Use the AI’s suggestion as one of several factors in the decision,Seek assistance from a colleague who knows the language.,Release a limited beta version to a select group of users for further testing while addressing the bug.,"Inform your team leader or project manager about the bug immediately, and work collaboratively to assess its impact and decide on the next steps."
2/25/2024 14:12:38,23-26 years old,Man,No,White,"Professional degree ( MD, Ph.D, Ed.D, etc.)",Less than 1 year,Windows,"Online Courses or Certification, Books, School (i.e, University, College, etc)",Time management,The specific requirements of the project,"Rely on informal chats and emails for quick updates, trusting team members to manage their time efficiently.","Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies.",Prioritize innovation over deadlines,"Improving healthcare through technology, such as telemedicine platforms and health tracking apps., Enhancing education with e-learning platforms, interactive learning tools, and virtual classrooms., Addressing climate change with environmental monitoring systems, carbon footprint calculators, and energy efficiency applications., Supporting economic development through fintech solutions, e-commerce platforms, and digital marketplaces.",Use the AI’s suggestion as one of several factors in the decision,Suggest reallocating the project to someone with the necessary expertise.,"Delay the release to assess and fix the bug, ensuring the product meets quality standards.","Inform your team leader or project manager about the bug immediately, and work collaboratively to assess its impact and decide on the next steps."
2/25/2024 14:51:09,23-26 years old,Man,No,Asian,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",6-10 years,Windows,"Online Courses or Certification, School (i.e, University, College, etc)",Work-life balance,The development team's familiarity with the language,Implement a combination of written documentation for clarity and regular check-ins for personal engagement and immediate feedback.,"Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies., Participate in online courses and certification programs to acquire new skills and knowledge.",Allocate specific time for research and innovation,"Enhancing education with e-learning platforms, interactive learning tools, and virtual classrooms., Addressing climate change with environmental monitoring systems, carbon footprint calculators, and energy efficiency applications.",Use the AI’s suggestion as one of several factors in the decision,Seek assistance from a colleague who knows the language.,Communicate with stakeholders about the issue and seek their input on how to proceed.,"Inform your team leader or project manager about the bug immediately, and work collaboratively to assess its impact and decide on the next steps."
2/25/2024 14:56:43,23-26 years old,Man,No,Asian,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3-5 years,macOS,"Online Courses or Certification, Books, Coding Bootcamp",Work-life balance,The language's community support and ecosystem,"Schedule regular meetings for updates and coordination, but keep them concise to avoid taking too much time away from work.","Attend workshops, conferences, and webinars to gain insights from industry leaders and peers.",Allocate specific time for research and innovation,"Improving healthcare through technology, such as telemedicine platforms and health tracking apps.",Follow the AI’s suggestion and fire the employee,Use your existing knowledge and adapt as you go.,"Delay the release to assess and fix the bug, ensuring the product meets quality standards.","Inform your team leader or project manager about the bug immediately, and work collaboratively to assess its impact and decide on the next steps."
2/25/2024 15:03:52,23-26 years old,Woman,No,Asian,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Less than 1 year,macOS,"School (i.e, University, College, etc)",Understanding existing codebases,The specific requirements of the project,Implement a combination of written documentation for clarity and regular check-ins for personal engagement and immediate feedback.,"Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies., Attend workshops, conferences, and webinars to gain insights from industry leaders and peers., Participate in online courses and certification programs to acquire new skills and knowledge., Engage in open-source projects and coding communities to get hands-on experience with cutting-edge technologies.",Allocate specific time for research and innovation,"Improving healthcare through technology, such as telemedicine platforms and health tracking apps., Enhancing education with e-learning platforms, interactive learning tools, and virtual classrooms., Addressing climate change with environmental monitoring systems, carbon footprint calculators, and energy efficiency applications., Supporting economic development through fintech solutions, e-commerce platforms, and digital marketplaces.",Use the AI’s suggestion as one of several factors in the decision,Seek assistance from a colleague who knows the language.,Release a limited beta version to a select group of users for further testing while addressing the bug.,"Inform your team leader or project manager about the bug immediately, and work collaboratively to assess its impact and decide on the next steps."
2/25/2024 16:39:49,23-26 years old,Woman,No,Asian,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Less than 1 year,Windows,"Online Courses or Certification, School (i.e, University, College, etc)",Understanding existing codebases,The development team's familiarity with the language,"Schedule regular meetings for updates and coordination, but keep them concise to avoid taking too much time away from work.",Participate in online courses and certification programs to acquire new skills and knowledge.,Adjust project scopes to include innovation,"Improving healthcare through technology, such as telemedicine platforms and health tracking apps., Addressing climate change with environmental monitoring systems, carbon footprint calculators, and energy efficiency applications., Supporting economic development through fintech solutions, e-commerce platforms, and digital marketplaces.",Use the AI’s suggestion as one of several factors in the decision,Suggest reallocating the project to someone with the necessary expertise.,Release a limited beta version to a select group of users for further testing while addressing the bug.,"Inform your team leader or project manager about the bug immediately, and work collaboratively to assess its impact and decide on the next steps."
2/25/2024 16:41:13,23-26 years old,Man,No,Asian,"Bachelor’s degree (B.A., B.S., B.Tech etc.)",1-2 years,Windows,"School (i.e, University, College, etc)",Keeping up with new technologies,The language's performance and scalability,"Use project management tools to assign tasks and track progress, ensuring everyone is aware of deadlines.","Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies.",Allocate specific time for research and innovation,"Addressing climate change with environmental monitoring systems, carbon footprint calculators, and energy efficiency applications.",Ignore the AI’s suggestion and keep the employee,Suggest reallocating the project to someone with the necessary expertise.,Release a limited beta version to a select group of users for further testing while addressing the bug.,"Inform your team leader or project manager about the bug immediately, and work collaboratively to assess its impact and decide on the next steps."
2/25/2024 17:26:45,27-35 years old,Woman,No,Asian,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3-5 years,Linux,"Online Courses or Certification, Books, School (i.e, University, College, etc)",Keeping up with new technologies,The specific requirements of the project,Implement a combination of written documentation for clarity and regular check-ins for personal engagement and immediate feedback.,"Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies., Attend workshops, conferences, and webinars to gain insights from industry leaders and peers.",Allocate specific time for research and innovation,"Improving healthcare through technology, such as telemedicine platforms and health tracking apps., Enhancing education with e-learning platforms, interactive learning tools, and virtual classrooms., Addressing climate change with environmental monitoring systems, carbon footprint calculators, and energy efficiency applications., Supporting economic development through fintech solutions, e-commerce platforms, and digital marketplaces.",Ignore the AI’s suggestion and keep the employee,Use your existing knowledge and adapt as you go.,"Delay the release to assess and fix the bug, ensuring the product meets quality standards.","Inform your team leader or project manager about the bug immediately, and work collaboratively to assess its impact and decide on the next steps."
2/25/2024 19:06:09,27-35 years old,Man,No,Asian,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",3-5 years,Windows,Online Courses or Certification,Understanding existing codebases,The language's community support and ecosystem,"Schedule regular meetings for updates and coordination, but keep them concise to avoid taking too much time away from work.","Attend workshops, conferences, and webinars to gain insights from industry leaders and peers., Participate in online courses and certification programs to acquire new skills and knowledge.",Allocate specific time for research and innovation,"Enhancing education with e-learning platforms, interactive learning tools, and virtual classrooms., Supporting economic development through fintech solutions, e-commerce platforms, and digital marketplaces.",Use the AI’s suggestion as one of several factors in the decision,Spend time upfront to learn the basics of the language.,Communicate with stakeholders about the issue and seek their input on how to proceed.,"Inform your team leader or project manager about the bug immediately, and work collaboratively to assess its impact and decide on the next steps."
